SGB	ann	leave_mean	unleave_mean	p	type	FC	group
1111525849862568_bin.27	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Roseomonas;s__	7.27e-08	1.79e-08	3.04969941817287	D	2.02199577665534	leave
MET0119_bin.14	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Pseudoglutamicibacter;s__Pseudoglutamicibacter cumminsii_A	3.14e-08	1.27e-08	3.03650258615279	D	1.30593606211946	leave
SMGC_385		3.44e-07	2.03e-07	3.03634909140881	C	0.760928837516922	pass
SMGC_124	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__	2.57e-07	7.69e-07	3.02333507681635	D	-1.58121523876795	unleave
T2108174080_concoct_bins_bin.5	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Salinicoccaceae;g__Aliicoccus;s__	2.9e-06	6.46e-07	3.01644993531412	C	2.16644683020837	leave
T2108173926_metabat2_bins_bin.110		2.47e-07	3.67e-07	3.01039891756863	D	-0.571269021258535	pass
T2108174080_concoct_bins_bin.5		1.86e-06	1.26e-06	2.99728892749095	D	0.561878887608115	pass
R_T2109198961_metabat2_bins_bin.2		5.7e-08	3.14e-08	2.99708785224251	D	0.860197360160477	pass
1111525849486576_bin.37		5.08e-08	2.61e-08	2.99706585180389	D	0.960778690202281	pass
T2108173943_concoct_bins_bin.65	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A;s__	2.76e-07	5.46e-08	2.98420867982504	D	2.33769541074568	leave
T2108174013_metabat2_bins_bin.80	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__	8.42e-06	6.15e-07	2.98420867982504	D	3.77516191772716	leave
SMGC_281	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__	4.23e-07	1.41e-07	2.98407510737678	D	1.58496250072116	leave
SMGC_444	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	5.45e-06	1.69e-07	2.98407510737678	D	5.01116107826947	leave
1111525849858348_bin.12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingopyxis;s__	4.72e-08	1.25e-08	2.98400854585205	D	1.91685876469975	leave
1111525849858348_bin.6	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Spirosoma;s__	2.21e-08	1.02e-08	2.98400854585205	D	1.11547721741994	leave
